title,year,genre,plot,runtime (minutes),RT rating (%),imdb rating
Ran,1985,"Action, Drama, War","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",160,96,8.2
The Hurt Locker,2008,"Drama, Thriller, War","During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",131,96,7.5
The Red Shoes,1948,"Drama, Music, Romance",A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,135,98,8.1
Leave No Trace,2018,"Adventure, Drama","A father and his seventeen-year-old daughter are living an ideal existence in a vast urban park in Portland, Oregon when a small mistake derails their lives forever.",109,100,7.1
Casino Royale,2006,"Action, Adventure, Thriller","After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.",144,94,8
Top Hat,1935,"Comedy, Musical, Romance","An American dancer comes to Britain and falls for a model whom he initially annoyed, but she mistakes him for his goofy producer.",101,100,7.7
The Conformist,1970,Drama,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",113,98,7.9
The Artist,2011,"Comedy, Drama, Romance","When George, a silent movie superstar, meets Peppy Miller, a dancer, sparks fly between the two. However, after the introduction of talking pictures, their fortunes change, affecting their dynamic.",100,95,7.8
Unforgiven,1992,"Drama, Western","Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a young would-be gunman calling himself ""The Schofield Kid"".",130,96,8.2
King Kong,1933,"Adventure, Horror","A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",100,97,7.9
Strangers on a Train,1951,"Crime, Drama, Film-Noir",A psychopath tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the other's most-hated person.,101,98,7.9
Halloween,1978,"Horror, Thriller","Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois, to kill again.",91,97,7.7
Paths of Glory,1957,"Drama, War",A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,88,96,8.4
A Prophet,2009,"Crime, Drama","A delinquent Muslim man struggles to get by in prison until he is taken under the wing of a powerful mob boss, but his gradual rise through the organization's ranks brings him in conflict with his mentor.",155,96,7.8
Children of Paradise,1945,"Drama, Romance",The theatrical life of a beautiful courtesan in 1830s Paris and the four men who love her.,189,98,8.3
Before Sunset,2004,"Drama, Romance","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",80,94,8.1
Sunrise,1927,"Drama, Romance","Explores Panem 24 years before Katniss' saga, starting on the morning of the reaping for the 50th Hunger Games, where a young Haymitch Abernathy participates.",94,98,8.1
Quiz Show,1994,"Biography, Drama, History","A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation.",133,97,7.5
Pulp Fiction,1994,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",154,92,8.8
A Beautiful Day in the Neighborhood,2019,"Biography, Drama, Family","Lloyd Vogel, a cynical journalist, gets acquainted with a kind-hearted television host Fred Rogers while writing an article on him. With time, they strike an unlikely friendship.",109,95,7.2
Puss in Boots: The Last Wish,2022,"Animation, Action, Adventure","When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.",102,95,7.8
The LEGO Movie,2014,"Animation, Action, Adventure","An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",100,96,7.7
Soul,2020,"Animation, Adventure, Comedy","Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.",100,95,8
One Flew Over the Cuckoo's Nest,1975,Drama,"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.",133,93,8.7
Creed,2015,"Action, Drama, Sport","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",133,95,7.6
Sweet Smell of Success,1957,"Drama, Film-Noir",A powerful Broadway columnist coerces an unscrupulous press agent into breaking up his sister's romance with a jazz musician.,96,98,8
La Haine,1995,"Crime, Drama",24 hours in the lives of three young men in the French suburbs the day after a violent riot.,98,96,8.1
Kubo and the Two Strings,2016,"Animation, Action, Adventure",A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,101,97,7.7
The Princess Bride,1987,"Adventure, Comedy, Family","A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",98,96,8
Starred Up,2013,"Crime, Drama, Thriller","Eric Love, 19, is locked up in prison. On his first day, he assaults another inmate and several guards. He's offered group therapy and his dad, an inmate as well, tries to talk sense into him. Can he be rehabilitated?",106,99,7.3
John Wick: Chapter 4,2023,"Action, Crime, Thriller","John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",169,94,7.6
Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",108,92,8.3
Monsieur Lazhar,2011,"Comedy, Drama","At a Montréal public grade school, an Algerian immigrant is hired to replace a popular teacher who committed suicide in her classroom. While helping his students deal with their grief, his own recent loss is revealed.",95,98,7.5
Aliens,1986,"Action, Adventure, Horror","Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",137,94,8.4
Sideways,2004,"Comedy, Drama, Romance","Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.",127,97,7.5
The Lion King,1994,"Animation, Adventure, Drama","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",88,93,8.5
Life of Brian,1979,Comedy,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",94,96,8
Before Midnight,2013,"Drama, Romance",We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,109,98,7.9
A Fistful of Dollars,1964,"Drama, Western","A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",99,98,7.9
Sullivan's Travels,1941,"Adventure, Comedy, Drama",Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.,90,100,7.9
BlacKkKlansman,2018,"Biography, Comedy, Crime","In this story inspired by true events, Ron Stallworth, an African-American Colorado police officer, successfully infiltrates the local branch of the Ku Klux Klan with the help of a white Jewish colleague.",135,96,7.5
Fargo,1996,"Crime, Drama, Thriller","Various chronicles of deception, intrigue, and murder in and around frozen Minnesota. All of these tales mysteriously lead back one way or another to Fargo, North Dakota.",98,95,8.1
The Grapes of Wrath,1940,Drama,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",129,100,8.1
The Lost Weekend,1945,"Drama, Film-Noir",The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,101,97,7.9
Sing Street,2016,"Comedy, Drama, Music","A young lad notices a beautiful girl who begins to occupy his thoughts. While struggling with poverty, personal relationships and life's woes, he starts a band, hoping to catch her attention.",106,95,7.9
Boyhood,2014,Drama,"The life of Mason, from early childhood to his arrival at college.",165,97,7.9
8 1/2,1963,"Dark Comedy, Epic, Psychological Drama, Showbiz Drama, Drama",A harried movie director retreats into his memories and fantasies.,138,97,8
Battleship Potemkin,1925,"Drama, History, Thriller","In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",66,100,7.9
Marriage Story,2019,"Drama, Romance",A stage director and his actor wife struggle through a grueling divorce that pushes them to their personal and creative extremes. Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,137,95,7.9
Lost in Translation,2003,"Comedy, Drama",A fading movie star falls for a lonely young woman in Tokyo.,102,95,7.7
The French Connection,1971,"Action, Crime, Drama","A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.",104,97,7.7
The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Drama, Fantasy",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,178,92,8.9
Once Upon a Time in the West,1968,"Drama, Western","The short tells the story of John Wayne, a 64-year-old man with an unknown past who constantly struggles to abandon his psychopathic habits, but, unfortunately, fails. But can he live with that? Can he live with the weight of death in his hands?",166,96,8.5
The Lord of the Rings: The Return of the King,2003,"Adventure, Drama, Fantasy",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,201,94,9
Moana,2016,"Animation, Adventure, Comedy","In ancient Polynesia, when a terrible curse incurred by the demigod Maui reaches Moana's island, she answers the Ocean's call to seek out Maui to set things right.",107,95,7.6
Sling Blade,1996,Drama,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",135,97,8
Grand Illusion,1937,"Drama, War","During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",113,97,8.1
The Thin Man,1934,"Comedy, Crime, Mystery","Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",91,98,7.9
The Diving Bell and the Butterfly,2007,"Biography, Drama","When Julian Schnabel decided to make a film out of of Jean-Dominique Bauby's autobiography The Diving Bell and the Butterfly, he was taking on a radical film making challenge that was both technically difficult and emotionally challenging: the story follows Bauby himself as he writes the book - even though he had been completely paralyzed by a massive stroke in the prime of his life. Join us as we look at the unusual visual and storytelling techniques employed to put the viewer inside Bauby's first-person experience - and how watching this film played very differently for us in the time of COVID-19.",112,94,8
The Discreet Charm of the Bourgeoisie,1972,"Comedy, Drama, Fantasy","A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",102,98,7.8
The Truman Show,1998,"Comedy, Drama",An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,103,94,8.2
The Red Circle,1970,"Crime, Drama, Thriller","After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist.",140,96,7.9
Ford v Ferrari,2019,"Action, Biography, Drama",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,152,92,8.1
Three Colors: Blue,1993,"Drama, Music, Mystery",A woman struggles to find a way to live her life after the death of her husband and child.,98,97,7.8
The Straight Story,1999,"Biography, Drama","Alvin Straight, a 73-year-old, learns that his estranged brother, Lyle is critically ill. Unable to drive, Alvin embarks on a journey from Iowa to Mt. Zion, by riding a lawn mower. Will he succeed?",112,95,8
Au Hasard Balthazar,1966,Drama,The story of a mistreated donkey and the people around him. A study on saintliness and a sister piece to Bresson's Mouchette.,95,100,7.7
True Grit,2010,"Drama, Western",A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,110,95,7.6
Room,2015,"Drama, Thriller","A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",118,93,8.1
Mother,2009,"Crime, Drama, Mystery",A mother desperately searches for the killer who framed her son for a girl's horrific murder.,129,96,7.7
Rosemary's Baby,1968,"Drama, Horror","A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.",137,97,8
Local Hero,1983,"Comedy, Drama","An American oil company has plans for a new refinery and sends someone to Scotland to buy up an entire village, but things don't go as expected.",111,100,7.3
Oppenheimer,2023,"Biography, Drama, History","A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",180,93,8.3
Diabolique,1955,"Crime, Drama, Horror",The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,117,95,8.1
Logan,2017,"Action, Drama, Sci-Fi","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",137,93,8.1
Playtime,1967,Comedy,"Monsieur Hulot curiously wanders around a high-tech Paris, paralleling a trip with a group of American tourists. Meanwhile, a nightclub/restaurant prepares its opening night, but it's still under construction.",155,98,7.8
A Quiet Place,2018,"Drama, Horror, Sci-Fi",A family struggles for survival in a world invaded by blind alien creatures with ultra-sensitive hearing.,90,96,7.5
A Night at the Opera,1935,"Comedy, Music, Musical",A sly business manager and the wacky friends of two opera singers in Italy help them achieve success in America while humiliating their stuffy and snobbish enemies.,96,97,7.8
Tim Burton's The Nightmare Before Christmas,1993,"Documentary, Short","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",25,95,7.8
In the Mood for Love,2000,"Drama, Romance",Two people have a chance encounter in a convenience store.,98,92,8.1
In the Heat of the Night,1967,"Drama, Mystery, Thriller","The cases and adventures of the police forces in and around Sparta, Mississippi.",110,96,7.9
Hidden Figures,2016,"Biography, Drama, History",Three female African-American mathematicians play a pivotal role in astronaut John Glenn's launch into orbit while dealing with racial and gender discrimination.,127,93,7.8
Umberto D,1952,Drama,An elderly man and his dog struggle to survive on his government pension in Rome.,89,98,8.2
My Left Foot,1989,"Biography, Drama","Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",103,98,7.8
Bringing Up Baby,1938,Comedy,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",102,97,7.8
Sense and Sensibility,1995,"Drama, Romance","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The older two daughters are the title opposites.",136,97,7.7
Call Me by Your Name,2017,"Drama, Romance","In the summer of 1983, 17-year-old Elio is spending the days with his family at their villa in Lombardy, Italy. He soon meets 24-year-old Oliver, an intern working for Elio's father. They discover the heady beauty of awakening desire.",132,95,7.8
Air,2023,"Drama, Sport",The history of the game-changing partnership between a then undiscovered Michael Jordan and Nike's fledgling basketball division which revolutionized the world of sports and culture with the Air Jordan brand.,111,93,7.4
Brazil,1985,"Drama, Sci-Fi, Thriller",A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,132,98,7.8
Dune: Part Two,2024,"Action, Adventure, Drama","Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",166,92,8.5
Shaun of the Dead,2004,"Comedy, Horror","The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.",99,92,7.9
Yojimbo,1961,"Action, Drama, Thriller",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,110,96,8.2
The Sting,1973,"Comedy, Crime, Drama",Two grifters team up to pull off the ultimate con.,129,93,8.3
Roman Holiday,1953,"Comedy, Drama, Romance",A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,118,96,8
The Departed,2006,"Crime, Drama, Thriller",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,151,91,8.5
Boyz N the Hood,1991,"Crime, Drama","Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",112,96,7.8
Lawrence of Arabia,1962,"Adventure, Biography, Drama","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",227,93,8.3
The Manchurian Candidate,1962,"Drama, Thriller",An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.,126,97,7.9
Day for Night,1973,"Comedy, Drama, Romance","A committed film director struggles to complete his movie while coping with a myriad of crises, personal and professional, among the cast and crew.",116,98,8
Badlands,1973,"Action, Crime, Drama","An impressionable teenage girl from a dead-end town, and her older greaser boyfriend, embark on a killing spree in the South Dakota Badlands.",94,97,7.7
Amores perros,2000,"Drama, Thriller","An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.",154,93,8
The Triplets of Belleville,2003,"Animation, Adventure, Comedy","When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",80,94,7.7
It's a Wonderful Life,1946,"Drama, Family, Fantasy",George is sick of seeing the film It's A Wonderful Life on every channel this time of year. He wishes the film was never made. An angel appears and grants him that wish. He discovers how horrible the world would be if the film It's A Wonderful Life never existed in the first place.,130,94,8.6
The Lives of Others,2006,"Drama, Mystery, Thriller","In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",137,92,8.4
Some Like It Hot,1959,"Comedy, Music, Romance","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",121,95,8.2
Princess Mononoke,1997,"Animation, Adventure, Fantasy","While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her home.",133,93,8.3
Guardians of the Galaxy,2014,"Action, Adventure, Comedy",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,121,92,8
The Bourne Ultimatum,2007,"Action, Mystery, Thriller",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,115,92,8
Almost Famous,2000,"Adventure, Comedy, Drama",A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,122,91,7.9
Young Frankenstein,1974,Comedy,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",106,95,8
Back to the Future,1985,"Adventure, Comedy, Sci-Fi","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",116,93,8.5
This Is Spinal Tap,1984,"Comedy, Music","Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",82,96,7.9
Wild Tales,2014,"Comedy, Drama, Thriller",Six short stories that explore the extremities of human behavior involving people in distress.,122,94,8.1
Die Hard,1988,"Action, Thriller","A New York City cop, John McClane, tries to save his estranged wife and several others taken hostage by terrorists during a Christmas Eve party at the Nakatomi Plaza Skyscraper in Los Angeles, California.",132,94,8.2
Aguirre: The Wrath of God,1972,"Action, Adventure, Biography","In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",95,96,7.8
To Be or Not to Be,1942,"Comedy, Romance, War","During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",99,96,8.1
The Apartment,1960,"Comedy, Drama, Romance","A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",125,93,8.3
City of God,2002,"Crime, Drama","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",130,91,8.6
White Heat,1949,"Action, Crime, Drama",A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,114,94,8.1
The Big Sleep,1946,"Crime, Film-Noir, Mystery","Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail--and what might be love.",114,96,7.9
Andrei Rublev,1966,"Biography, Drama, History","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",189,96,8
City Lights,1931,"Comedy, Drama, Romance","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",87,95,8.5
Being There,1979,"Comedy, Drama","After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics.",130,95,7.9
Hotel Rwanda,2004,"Biography, Drama, History","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",121,91,8.1
Shang-Chi and the Legend of the Ten Rings,2021,"Action, Adventure, Fantasy","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",132,92,7.3
Breathless,1959,"Caper, Crime, Drama","A small-time crook, hunted by the authorities for a car theft and the murder of a police officer, attempts to persuade a hip American journalism student to run away with him to Italy.",90,95,7.7
Wings of Desire,1987,"Drama, Fantasy, Romance","An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal.",128,95,7.9
Marvel's the Avengers,2012,"Action Epic, Alien Invasion, Superhero, Action, Sci-Fi",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,143,91,8
Run Lola Run,1998,"Action, Crime, Thriller","After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",80,94,7.6
Throne of Blood,1957,Drama,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",110,96,8
All the President's Men,1976,"Drama, History, Thriller","""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",138,94,7.9
Raging Bull,1980,"Biography, Drama, Sport","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",129,92,8.1
Spider-Man: Far From Home,2019,"Action, Adventure, Comedy","Peter Parker, the beloved superhero Spider-Man, faces four destructive elemental monsters while on holiday in Europe. Soon, he receives help from Mysterio, a fellow hero with mysterious origins.",129,91,7.4
The Hidden Fortress,1958,"Adventure, Drama","Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",126,96,8
Apocalypse Now,1979,"Drama, Mystery, War",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,147,90,8.4
Beauty and the Beast,1946,"Drama, Fantasy, Romance","To save her father, a girl who always puts others before herself promises to live her life in a lavish castle with a strange beast.",93,96,7.9
The Killing,1956,"Crime, Drama, Film-Noir","A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car.",84,96,7.9
Amélie,2001,"Comedy, Romance","Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",122,90,8.3
"Steamboat Bill, Jr.",1928,"Action, Comedy, Drama",The effete son of a cantankerous riverboat captain comes to join his father's crew.,70,96,7.8
Central Station,1998,Drama,"The emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew.",110,94,8
Taxi Driver,1976,"Crime, Drama","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",114,89,8.2
