title,year,genre,plot,runtime (minutes),RT rating (%),imdb rating
Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller","A group of terrorists plans to detonate three plutonium cores for a simultaneous nuclear attack on different cities. Ethan Hunt, along with his IMF team, sets out to stop the carnage.",147,98,7.7
Cool Hand Luke,1967,"Crime, Drama","A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.",127,100,8
Toy Story 4,2019,"Animation, Adventure, Comedy","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",100,96,7.6
Shoplifters,2018,"Crime, Drama, Thriller","On the margins of Tokyo, a dysfunctional band of outsiders are united by loyalty, a penchant for petty theft and playful grifting. When the young son is arrested, secrets are exposed that upend their tenuous, below-the-radar existence.",121,99,7.9
Three Colors: Red,1994,"Drama, Mystery, Romance",A model discovers a retired judge is keen on invading people's privacy.,99,100,8.1
Annie Hall,1977,"Comedy, Romance","Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages.",93,97,7.9
Knives Out,2019,"Comedy, Crime, Drama","When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate.",130,97,7.9
Let the Right One In,2008,"Drama, Fantasy, Horror","Follows a 12-year-old girl who lives a closed-in life after turning into a vampire, only able to go out at night. Her father does his best to provide her with the minimal amount of human blood she needs to stay alive.",114,98,7.8
Paddington 2,2017,"Adventure, Comedy, Family","Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen.",103,99,7.8
The Wizard of Oz,1939,"Adventure, Family, Fantasy",Abridged adaptation of the touring stage show that aired regionally to entice families to see the complete show live.,102,98,8.1
Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,1964,"Comedy, War","A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",95,98,8.3
Jaws,1975,"Adventure, Drama, Horror","When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down.",124,97,8.1
M,1931,"Crime, Mystery, Thriller","After a breakup, New York workaholic Jessica moves to London planning on being alone. She meets Felix who causes her to reconsider finding love again.",99,100,8.3
The Lord of the Rings: The Two Towers,2002,"Adventure, Drama, Fantasy","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",179,95,8.8
Psycho,1960,"Drama, Horror, Mystery",A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,109,97,8.5
The Maltese Falcon,1941,"Crime, Drama, Film-Noir","San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered.",100,99,7.9
Alien,1979,"Horror, Sci-Fi",A crash-landed alien takes on the identity of a small-town Colorado doctor and slowly begins to wrestle with the moral dilemma of his secret mission on Earth.,117,93,8.5
