title,year,RT rating,plot,genre,runtime,imdb_rating
Get Out,2017,98%,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","Horror, Mystery, Thriller",104 min,7.8
The 400 Blows,1959,99%,"A young boy, left without attention, delves into a life of petty crime.","Crime, Drama",99 min,8.0
Metropolis,1927,97%,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.","Drama, Sci-Fi",153 min,8.3
"Crouching Tiger, Hidden Dragon",2000,98%,"Two legendary warriors, Shu Lien and Mu Bai, face a dilemma between their forbidden love and the traditions they are sworn to protect, as the modern world threatens to change everything they know.","Action, Adventure, Drama",120 min,7.9
The Wages of Fear,1953,100%,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Adventure, Drama, Thriller",156 min,8.1
Grave of the Fireflies,1988,100%,"Centers on the struggle of two orphaned Japanese children, 14 year-old Seita and his four year-old sister Setsuko, during World War II.","Animation, Drama, War",88 min,8.5
Argo,2012,96%,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.","Biography, Drama, History",120 min,7.7
Portrait of a Lady on Fire,2019,97%,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.","Drama, Romance",122 min,8.1
Mission: Impossible - Dead Reckoning Part One,2023,96%,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,"Action, Adventure, Thriller",163 min,7.6
Before Sunrise,1995,100%,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Comedy, Drama, Romance",101 min,8.1
The Last Picture Show,1971,98%,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.","Drama, Romance",118 min,8.0
The Dark Knight,2008,94%,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.","Action, Crime, Drama",152 min,9.0
Mad Max: Fury Road,2015,97%,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.","Action, Adventure, Sci-Fi",120 min,8.1
The Treasure of the Sierra Madre,1948,100%,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"Adventure, Drama, Western",126 min,8.2
The Big Sick,2017,98%,"Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.","Comedy, Drama, Romance",120 min,7.5
"The Good, the Bad and the Ugly",1966,97%,A cemetery keeper and security guard team up to foil the activities of a syndicate that made the cemetery their hideout..,"Adventure, Drama, Western",178 min,8.8
