title,year,RT rating,plot,genre,runtime,imdb_rating
Touch of Evil,1958,97%,"A Mexican official and his American wife are targeted in a Texas border town by the crime family he's trying to put behind bars for drug trafficking, as his concern grows over the tactics of the local detective whose cooperation he needs.","Crime, Drama, Film-Noir",95 min,8.0
Iron Man,2008,94%,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","Action, Adventure, Sci-Fi",126 min,7.9
Little Women,2019,95%,"In 19th century Massachusetts, the March sisters--Meg, Jo, Beth, and Amy--on the threshold of womanhood, go through many ups and downs in life and endeavor to make important decisions about their futures.","Drama, Romance",135 min,7.8
The Handmaiden,2016,96%,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her fortune.","Drama, Romance, Thriller",145 min,8.1
The Band's Visit,2007,98%,"A band comprised of members of the Egyptian police force head to Israel to play at the inaugural ceremony of an Arab arts center, only to find themselves lost in the wrong town.","Comedy, Drama, Music",87 min,7.5
Ran,1985,96%,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","Action, Drama, War",160 min,8.2
The Hurt Locker,2008,96%,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.","Drama, Thriller, War",131 min,7.5
The Red Shoes,1948,98%,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,"Drama, Music, Romance",135 min,8.1
Leave No Trace,2018,100%,"A father and his seventeen-year-old daughter are living an ideal existence in a vast urban park in Portland, Oregon when a small mistake derails their lives forever.","Adventure, Drama",109 min,7.1
Casino Royale,2006,94%,"After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.","Action, Adventure, Thriller",144 min,8.0
Top Hat,1935,100%,"An American dancer comes to Britain and falls for a model whom he initially annoyed, but she mistakes him for his goofy producer.","Comedy, Musical, Romance",101 min,7.7
The Conformist,1970,98%,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",Drama,113 min,7.9
The Artist,2011,95%,"When George, a silent movie superstar, meets Peppy Miller, a dancer, sparks fly between the two. However, after the introduction of talking pictures, their fortunes change, affecting their dynamic.","Comedy, Drama, Romance",100 min,7.8
Unforgiven,1992,96%,"Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a young would-be gunman calling himself ""The Schofield Kid"".","Drama, Western",130 min,8.2
King Kong,1933,97%,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.","Adventure, Horror",100 min,7.9
Strangers on a Train,1951,98%,A psychopath tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the other's most-hated person.,"Crime, Drama, Film-Noir",101 min,7.9
Halloween,1978,97%,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois, to kill again.","Horror, Thriller",91 min,7.7
Paths of Glory,1957,96%,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,"Drama, War",88 min,8.4
A Prophet,2009,96%,"A delinquent Muslim man struggles to get by in prison until he is taken under the wing of a powerful mob boss, but his gradual rise through the organization's ranks brings him in conflict with his mentor.","Crime, Drama",155 min,7.8
Children of Paradise,1945,98%,The theatrical life of a beautiful courtesan in 1830s Paris and the four men who love her.,"Drama, Romance",189 min,8.3
Before Sunset,2004,94%,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Drama, Romance",80 min,8.1
Sunrise,1927,98%,"Explores Panem 24 years before Katniss' saga, starting on the morning of the reaping for the 50th Hunger Games, where a young Haymitch Abernathy participates.","Drama, Romance",94 min,8.1
Quiz Show,1994,97%,"A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation.","Biography, Drama, History",133 min,7.5
Pulp Fiction,1994,92%,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime, Drama",154 min,8.8
A Beautiful Day in the Neighborhood,2019,95%,"Lloyd Vogel, a cynical journalist, gets acquainted with a kind-hearted television host Fred Rogers while writing an article on him. With time, they strike an unlikely friendship.","Biography, Drama, Family",109 min,7.2
Puss in Boots: The Last Wish,2022,95%,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Animation, Action, Adventure",102 min,7.8
The LEGO Movie,2014,96%,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.","Animation, Action, Adventure",100 min,7.7
Soul,2020,95%,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.","Animation, Adventure, Comedy",100 min,8.0
One Flew Over the Cuckoo's Nest,1975,93%,"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.",Drama,133 min,8.7
Creed,2015,95%,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.","Action, Drama, Sport",133 min,7.6
Sweet Smell of Success,1957,98%,A powerful Broadway columnist coerces an unscrupulous press agent into breaking up his sister's romance with a jazz musician.,"Drama, Film-Noir",96 min,8.0
La Haine,1995,96%,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"Crime, Drama",98 min,8.1
Kubo and the Two Strings,2016,97%,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,"Animation, Action, Adventure",101 min,7.7
The Princess Bride,1987,96%,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.","Adventure, Comedy, Family",98 min,8.0
Starred Up,2013,99%,"Eric Love, 19, is locked up in prison. On his first day, he assaults another inmate and several guards. He's offered group therapy and his dad, an inmate as well, tries to talk sense into him. Can he be rehabilitated?","Crime, Drama, Thriller",106 min,7.3
John Wick: Chapter 4,2023,94%,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","Action, Crime, Thriller",169 min,7.6
Eternal Sunshine of the Spotless Mind,2004,92%,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.","Drama, Romance, Sci-Fi",108 min,8.3
Monsieur Lazhar,2011,98%,"At a Montréal public grade school, an Algerian immigrant is hired to replace a popular teacher who committed suicide in her classroom. While helping his students deal with their grief, his own recent loss is revealed.","Comedy, Drama",95 min,7.5
Aliens,1986,94%,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","Action, Adventure, Horror",137 min,8.4
Sideways,2004,97%,"Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.","Comedy, Drama, Romance",127 min,7.5
The Lion King,1994,93%,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Animation, Adventure, Drama",88 min,8.5
Life of Brian,1979,96%,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Comedy,94 min,8.0
Before Midnight,2013,98%,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,"Drama, Romance",109 min,7.9
A Fistful of Dollars,1964,98%,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.","Drama, Western",99 min,7.9
Sullivan's Travels,1941,100%,Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.,"Adventure, Comedy, Drama",90 min,7.9
BlacKkKlansman,2018,96%,"In this story inspired by true events, Ron Stallworth, an African-American Colorado police officer, successfully infiltrates the local branch of the Ku Klux Klan with the help of a white Jewish colleague.","Biography, Comedy, Crime",135 min,7.5
Fargo,1996,95%,"Various chronicles of deception, intrigue, and murder in and around frozen Minnesota. All of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Crime, Drama, Thriller",98 min,8.1
The Grapes of Wrath,1940,100%,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",Drama,129 min,8.1
The Lost Weekend,1945,97%,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,"Drama, Film-Noir",101 min,7.9
Sing Street,2016,95%,"A young lad notices a beautiful girl who begins to occupy his thoughts. While struggling with poverty, personal relationships and life's woes, he starts a band, hoping to catch her attention.","Comedy, Drama, Music",106 min,7.9
Boyhood,2014,97%,"The life of Mason, from early childhood to his arrival at college.",Drama,165 min,7.9
8 1/2,1963,97%,A harried movie director retreats into his memories and fantasies.,,,
Battleship Potemkin,1925,100%,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.","Drama, History, Thriller",66 min,7.9
Marriage Story,2019,95%,A stage director and his actor wife struggle through a grueling divorce that pushes them to their personal and creative extremes. Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,"Drama, Romance",137 min,7.9
Lost in Translation,2003,95%,A fading movie star falls for a lonely young woman in Tokyo.,"Comedy, Drama",102 min,7.7
The French Connection,1971,97%,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.","Action, Crime, Drama",104 min,7.7
The Lord of the Rings: The Fellowship of the Ring,2001,92%,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Adventure, Drama, Fantasy",178 min,8.9
Once Upon a Time in the West,1968,96%,"The short tells the story of John Wayne, a 64-year-old man with an unknown past who constantly struggles to abandon his psychopathic habits, but, unfortunately, fails. But can he live with that? Can he live with the weight of death in his hands?","Drama, Western",166 min,8.5
The Lord of the Rings: The Return of the King,2003,94%,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Adventure, Drama, Fantasy",201 min,9.0
Moana,2016,95%,"In ancient Polynesia, when a terrible curse incurred by the demigod Maui reaches Moana's island, she answers the Ocean's call to seek out Maui to set things right.","Animation, Adventure, Comedy",107 min,7.6
Sling Blade,1996,97%,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Drama,135 min,8.0
Grand Illusion,1937,97%,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.","Drama, War",113 min,8.1
The Thin Man,1934,98%,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.","Comedy, Crime, Mystery",91 min,7.9
The Diving Bell and the Butterfly,2007,94%,"When Julian Schnabel decided to make a film out of of Jean-Dominique Bauby's autobiography The Diving Bell and the Butterfly, he was taking on a radical film making challenge that was both technically difficult and emotionally challenging: the story follows Bauby himself as he writes the book - even though he had been completely paralyzed by a massive stroke in the prime of his life. Join us as we look at the unusual visual and storytelling techniques employed to put the viewer inside Bauby's first-person experience - and how watching this film played very differently for us in the time of COVID-19.","Biography, Drama",112 min,8.0
The Discreet Charm of the Bourgeoisie,1972,98%,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.","Comedy, Drama, Fantasy",102 min,7.8
The Truman Show,1998,94%,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,"Comedy, Drama",103 min,8.2
The Red Circle,1970,96%,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist.","Crime, Drama, Thriller",140 min,7.9
Ford v Ferrari,2019,92%,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"Action, Biography, Drama",152 min,8.1
Three Colors: Blue,1993,97%,A woman struggles to find a way to live her life after the death of her husband and child.,"Drama, Music, Mystery",98 min,7.8
The Straight Story,1999,95%,"Alvin Straight, a 73-year-old, learns that his estranged brother, Lyle is critically ill. Unable to drive, Alvin embarks on a journey from Iowa to Mt. Zion, by riding a lawn mower. Will he succeed?","Biography, Drama",112 min,8.0
Au Hasard Balthazar,1966,100%,The story of a mistreated donkey and the people around him. A study on saintliness and a sister piece to Bresson's Mouchette.,Drama,95 min,7.7
True Grit,2010,95%,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,"Drama, Western",110 min,7.6
Room,2015,93%,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.","Drama, Thriller",118 min,8.1
Mother,2009,96%,A mother desperately searches for the killer who framed her son for a girl's horrific murder.,"Crime, Drama, Mystery",129 min,7.7
Rosemary's Baby,1968,97%,"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.","Drama, Horror",137 min,8.0
Local Hero,1983,100%,"An American oil company has plans for a new refinery and sends someone to Scotland to buy up an entire village, but things don't go as expected.","Comedy, Drama",111 min,7.3
Oppenheimer,2023,93%,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.","Biography, Drama, History",180 min,8.3
Diabolique,1955,95%,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,"Crime, Drama, Horror",117 min,8.1
Logan,2017,93%,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Action, Drama, Sci-Fi",137 min,8.1
Playtime,1967,98%,"Monsieur Hulot curiously wanders around a high-tech Paris, paralleling a trip with a group of American tourists. Meanwhile, a nightclub/restaurant prepares its opening night, but it's still under construction.",Comedy,155 min,7.8
A Quiet Place,2018,96%,A family struggles for survival in a world invaded by blind alien creatures with ultra-sensitive hearing.,"Drama, Horror, Sci-Fi",90 min,7.5
A Night at the Opera,1935,97%,A sly business manager and the wacky friends of two opera singers in Italy help them achieve success in America while humiliating their stuffy and snobbish enemies.,"Comedy, Music, Musical",96 min,7.8
Tim Burton's The Nightmare Before Christmas,1993,95%,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.","Documentary, Short",25 min,7.8
In the Mood for Love,2000,92%,Two people have a chance encounter in a convenience store.,"Drama, Romance",98 min,8.1
In the Heat of the Night,1967,96%,"The cases and adventures of the police forces in and around Sparta, Mississippi.","Drama, Mystery, Thriller",110 min,7.9
Hidden Figures,2016,93%,Three female African-American mathematicians play a pivotal role in astronaut John Glenn's launch into orbit while dealing with racial and gender discrimination.,"Biography, Drama, History",127 min,7.8
Umberto D,1952,98%,An elderly man and his dog struggle to survive on his government pension in Rome.,Drama,89 min,8.2
My Left Foot,1989,98%,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.","Biography, Drama",103 min,7.8
Bringing Up Baby,1938,97%,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",Comedy,102 min,7.8
Sense and Sensibility,1995,97%,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The older two daughters are the title opposites.","Drama, Romance",136 min,7.7
Call Me by Your Name,2017,95%,"In the summer of 1983, 17-year-old Elio is spending the days with his family at their villa in Lombardy, Italy. He soon meets 24-year-old Oliver, an intern working for Elio's father. They discover the heady beauty of awakening desire.","Drama, Romance",132 min,7.8
Air,2023,93%,The history of the game-changing partnership between a then undiscovered Michael Jordan and Nike's fledgling basketball division which revolutionized the world of sports and culture with the Air Jordan brand.,"Drama, Sport",111 min,7.4
Brazil,1985,98%,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,"Drama, Sci-Fi, Thriller",132 min,7.8
Dune: Part Two,2024,92%,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.","Action, Adventure, Drama",166 min,8.5
Shaun of the Dead,2004,92%,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.","Comedy, Horror",99 min,7.9
Yojimbo,1961,96%,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Action, Drama, Thriller",110 min,8.2
The Sting,1973,93%,Two grifters team up to pull off the ultimate con.,"Comedy, Crime, Drama",129 min,8.3
Roman Holiday,1953,96%,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,"Comedy, Drama, Romance",118 min,8.0
The Departed,2006,91%,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Crime, Drama, Thriller",151 min,8.5
Boyz N the Hood,1991,96%,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.","Crime, Drama",112 min,7.8
Lawrence of Arabia,1962,93%,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","Adventure, Biography, Drama",227 min,8.3
The Manchurian Candidate,1962,97%,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.,"Drama, Thriller",126 min,7.9
Day for Night,1973,98%,"A committed film director struggles to complete his movie while coping with a myriad of crises, personal and professional, among the cast and crew.","Comedy, Drama, Romance",116 min,8.0
Badlands,1973,97%,"An impressionable teenage girl from a dead-end town, and her older greaser boyfriend, embark on a killing spree in the South Dakota Badlands.","Action, Crime, Drama",94 min,7.7
Amores perros,2000,93%,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.","Drama, Thriller",154 min,8.0
The Triplets of Belleville,2003,94%,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.","Animation, Adventure, Comedy",80 min,7.7
It's a Wonderful Life,1946,94%,George is sick of seeing the film It's A Wonderful Life on every channel this time of year. He wishes the film was never made. An angel appears and grants him that wish. He discovers how horrible the world would be if the film It's A Wonderful Life never existed in the first place.,"Drama, Family, Fantasy",130 min,8.6
The Lives of Others,2006,92%,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.","Drama, Mystery, Thriller",137 min,8.4
Some Like It Hot,1959,95%,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Comedy, Music, Romance",121 min,8.2
Princess Mononoke,1997,93%,"While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her home.","Animation, Adventure, Fantasy",133 min,8.3
Guardians of the Galaxy,2014,92%,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"Action, Adventure, Comedy",121 min,8.0
The Bourne Ultimatum,2007,92%,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,"Action, Mystery, Thriller",115 min,8.0
Almost Famous,2000,91%,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,"Adventure, Comedy, Drama",122 min,7.9
Young Frankenstein,1974,95%,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",Comedy,106 min,8.0
Back to the Future,1985,93%,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Adventure, Comedy, Sci-Fi",116 min,8.5
This Is Spinal Tap,1984,96%,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.","Comedy, Music",82 min,7.9
Wild Tales,2014,94%,Six short stories that explore the extremities of human behavior involving people in distress.,"Comedy, Drama, Thriller",122 min,8.1
Die Hard,1988,94%,"A New York City cop, John McClane, tries to save his estranged wife and several others taken hostage by terrorists during a Christmas Eve party at the Nakatomi Plaza Skyscraper in Los Angeles, California.","Action, Thriller",132 min,8.2
Aguirre: The Wrath of God,1972,96%,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.","Action, Adventure, Biography",95 min,7.8
To Be or Not to Be,1942,96%,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","Comedy, Romance, War",99 min,8.1
The Apartment,1960,93%,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.","Comedy, Drama, Romance",125 min,8.3
City of God,2002,91%,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Crime, Drama",130 min,8.6
White Heat,1949,94%,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,"Action, Crime, Drama",114 min,8.1
The Big Sleep,1946,96%,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail--and what might be love.","Crime, Film-Noir, Mystery",114 min,7.9
Andrei Rublev,1966,96%,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.","Biography, Drama, History",189 min,8.0
City Lights,1931,95%,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Comedy, Drama, Romance",87 min,8.5
Being There,1979,95%,"After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics.","Comedy, Drama",130 min,7.9
Hotel Rwanda,2004,91%,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Biography, Drama, History",121 min,8.1
Shang-Chi and the Legend of the Ten Rings,2021,92%,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.","Action, Adventure, Fantasy",132 min,7.3
Breathless,1959,95%,"A small-time crook, hunted by the authorities for a car theft and the murder of a police officer, attempts to persuade a hip American journalism student to run away with him to Italy.",,,
Wings of Desire,1987,95%,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal.","Drama, Fantasy, Romance",128 min,7.9
Marvel's the Avengers,2012,91%,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,,,
Run Lola Run,1998,94%,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.","Action, Crime, Thriller",80 min,7.6
Throne of Blood,1957,96%,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",Drama,110 min,8.0
All the President's Men,1976,94%,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.","Drama, History, Thriller",138 min,7.9
Raging Bull,1980,92%,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Biography, Drama, Sport",129 min,8.1
Spider-Man: Far From Home,2019,91%,"Peter Parker, the beloved superhero Spider-Man, faces four destructive elemental monsters while on holiday in Europe. Soon, he receives help from Mysterio, a fellow hero with mysterious origins.","Action, Adventure, Comedy",129 min,7.4
The Hidden Fortress,1958,96%,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.","Adventure, Drama",126 min,8.0
Apocalypse Now,1979,90%,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Drama, Mystery, War",147 min,8.4
Beauty and the Beast,1946,96%,"To save her father, a girl who always puts others before herself promises to live her life in a lavish castle with a strange beast.","Drama, Fantasy, Romance",93 min,7.9
The Killing,1956,96%,"A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car.","Crime, Drama, Film-Noir",84 min,7.9
Amélie,2001,90%,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.","Comedy, Romance",122 min,8.3
"Steamboat Bill, Jr.",1928,96%,The effete son of a cantankerous riverboat captain comes to join his father's crew.,"Action, Comedy, Drama",70 min,7.8
Central Station,1998,94%,"The emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew.",Drama,110 min,8.0
Taxi Driver,1976,89%,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Crime, Drama",114 min,8.2
